Name,Role,wiki link,Region
M. G. Ramachandran (M.G.R.),Actor,/wiki/M._G._Ramachandran,Tamil
M. N. Nambiar,Actor,/wiki/M._N._Nambiar,Tamil
Gemini Ganesan,Actor,/wiki/Gemini_Ganesan,Tamil
Sivaji Ganesan,Actor,/wiki/Sivaji_Ganesan,Tamil
M. R. Radha,Actor,/wiki/M._R._Radha,Tamil
Kamal Haasan,Actor,/wiki/Kamal_Haasan,Tamil
Rajinikanth,Actor,/wiki/Rajinikanth,Tamil
Sathyaraj,Actor,/wiki/Sathyaraj,Tamil
Bhagyaraj,Actor,/wiki/K._Bhagyaraj,Tamil
Vijayakant,Actor,/wiki/Vijayakant,Tamil
Mohan,Actor,/wiki/Mohan_(actor),Tamil
Visu,Actor,/wiki/Visu,Tamil
Karthik,Actor,/wiki/Karthik_(actor),Tamil
Prabhu,Actor,/wiki/Prabhu_(actor),Tamil
Raghuvaran,Actor,/wiki/Raghuvaran,Tamil
T. Rajendar,Actor,/wiki/T._Rajendar,Tamil
Arjun,Actor,/wiki/Arjun_Sarja,Tamil
Murali,Actor,/wiki/Murali_(Tamil_actor),Tamil
Pandiarajan,Actor,/wiki/Pandiarajan,Tamil
Rahman,Actor,/wiki/Rahman_(actor),Tamil
Nassar,Actor,/wiki/Nassar_(actor),Tamil
Vivek,Actor,/wiki/Vivek_(actor),Tamil
Sarathkumar,Actor,/wiki/R._Sarathkumar,Tamil
Rajkiran,Actor,/wiki/Rajkiran,Tamil
Parthiban,Actor,/wiki/R._Parthiepan,Tamil
Mammootty,Actor,/wiki/Mammootty,Tamil
Vikram,Actor,/wiki/Vikram_(actor),Tamil
Prashanth,Actor,/wiki/Prashanth,Tamil
Vadivelu,Actor,/wiki/Vadivelu,Tamil
Arvind Swamy,Actor,/wiki/Arvind_Swamy,Tamil
Vijay,Actor,/wiki/Vijay_(actor),Tamil
Ajith Kumar,Actor,/wiki/Ajith_Kumar,Tamil
Prakash Raj,Actor,/wiki/Prakash_Raj,Tamil
Prabhu Deva,Actor,/wiki/Prabhu_Deva,Tamil
Suriya,Actor,/wiki/Suriya,Tamil
Mohanlal,Actor,/wiki/Mohanlal,Tamil
Madhavan,Actor,/wiki/R._Madhavan,Tamil
Raghava Lawrence,Actor,/wiki/Raghava_Lawrence,Tamil
Dhanush,Actor,/wiki/Dhanush,Tamil
Prasanna,Actor,/wiki/Prasanna_(actor),Tamil
Cheran,Actor,/wiki/Cheran_(director),Tamil
Silambarasan,Actor,/wiki/Silambarasan,Tamil
Jiiva,Actor,/wiki/Jiiva,Tamil
Jayam Ravi,Actor,/wiki/Jayam_Ravi,Tamil
Siddharth,Actor,/wiki/Siddharth_(actor),Tamil
